Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
Отметка времени;Ваш пол;Возраст;Связана ли Ваша деятельность с информационной безопасностью?;Есть ли у Вас подготовка в обеспечении информационной безопасности?;Сталкивались ли Вы с мошенниками?;Становились ли Вы жертвой мошенников?;Как Вы относитесь к конфиденциальности своих данных?;Хотели бы Вы иметь дополнительную защиту от мошенников?;Готовы ли Вы ради защиты идти на компромисс в вопросе конфиденциальности?  (программа-помощник)
2020/10/11 6:16:07 PM GMT+3;Женский;51+;Нет;Самообучение;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Меня это не беспокоит;Да;Стоит подумать
2020/10/11 10:24:01 PM GMT+3;Женский;23-35;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/11 10:29:52 PM GMT+3;Женский;23-35;Нет;Самообучение;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Ни за что
2020/10/11 10:34:42 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Меня это не беспокоит;Нет;Ни за что
2020/10/11 10:37:30 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/11 10:38:43 PM GMT+3;Мужской;23-35;Да;Самообучение;Нет;Мне помогли/ повезло;Меня это не беспокоит;Да;Стоит подумать
2020/10/11 10:41:00 PM GMT+3;Женский;23-35;Нет;Обучение по месту работы;Да;Да, с кем не бывает;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/11 11:12:24 PM GMT+3;Мужской;36-50;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Нет;Стоит подумать
2020/10/11 11:24:05 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Не интересно;Стоит подумать
2020/10/11 11:36:25 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/11 11:58:43 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Мне помогли/ повезло;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/12 12:17:16 AM GMT+3;Мужской;23-35;Нет;Прошел(ла) консультацию;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/12 12:23:25 AM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/12 10:30:27 AM GMT+3;Женский;36-50;Нет;Самообучение;Да;Мне помогли/ повезло;Меня это не беспокоит;Да;Стоит подумать
2020/10/12 12:33:21 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Не интересно;Стоит подумать
2020/10/12 1:15:08 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/12 1:46:04 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/12 1:47:08 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Да
2020/10/12 2:06:12 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/12 3:02:32 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Меня это не беспокоит;Да;Стоит подумать
2020/10/12 5:29:16 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Меня это не беспокоит;Не интересно;Стоит подумать
2020/10/12 7:12:29 PM GMT+3;Женский;23-35;Нет;Самообучение;Да;Да, с кем не бывает;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/12 7:33:36 PM GMT+3;Мужской;23-35;Нет;Самообучение;Да;Мне помогли/ повезло;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/12 7:59:24 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Мне помогли/ повезло;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/12 8:02:23 PM GMT+3;Женский;23-35;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Нет;Ни за что
2020/10/12 8:35:18 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/12 10:31:24 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Конфиденциальность? Существует в наше время?;Да;Да
2020/10/13 12:15:25 PM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/13 12:21:13 PM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Да;Да
2020/10/13 12:22:44 PM GMT+3;Женский;23-35;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/13 12:23:14 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/13 12:35:46 PM GMT+3;Мужской;16-22;Да;Самообучение;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Не интересно;Стоит подумать
2020/10/13 12:35:47 PM GMT+3;Мужской;16-22;Да;Самообучение;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Не интересно;Стоит подумать
2020/10/13 12:45:58 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Не интересно;Ни за что
2020/10/13 5:56:32 PM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/13 5:56:40 PM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/13 6:05:54 PM GMT+3;Мужской;23-35;Да;Специальное образование;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Нет;Ни за что
2020/10/13 6:06:17 PM GMT+3;Мужской;23-35;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/13 9:10:46 PM GMT+3;Мужской;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Меня это не беспокоит;Нет;Ни за что
2020/10/13 10:50:03 PM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Не интересно;Стоит подумать
2020/10/13 10:58:48 PM GMT+3;Женский;23-35;Нет;Самообучение;Нет;Мне помогли/ повезло;Серьезно и весьма осторожно;Нет;Стоит подумать
2020/10/13 11:00:10 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Да;Да
2020/10/13 11:22:43 PM GMT+3;Женский;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/14 12:13:15 AM GMT+3;Женский;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/14 12:15:29 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/14 12:15:38 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Нет;Стоит подумать
2020/10/14 12:19:35 AM GMT+3;Женский;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/14 12:21:47 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Не интересно;Ни за что
2020/10/14 12:38:25 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/14 7:23:49 AM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/14 10:54:25 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/14 1:05:09 PM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Меня это не беспокоит;Не интересно;Стоит подумать
2020/10/14 9:07:27 PM GMT+3;Женский;23-35;Да;Обучение по месту работы;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Да;Ни за что
2020/10/14 10:08:59 PM GMT+3;Мужской;23-35;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 10:55:40 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 10:55:44 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Да;Да
2020/10/15 10:55:59 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 10:56:04 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Меня это не беспокоит;Нет;Да
2020/10/15 10:56:04 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 10:56:48 AM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Нет;Ни за что
2020/10/15 10:58:09 AM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Нет;Ни за что
2020/10/15 10:58:10 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/15 10:58:13 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 10:58:43 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 10:58:49 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Не интересно;Стоит подумать
2020/10/15 10:59:04 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 10:59:29 AM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Да, с кем не бывает;Серьезно и весьма осторожно;Нет;Стоит подумать
2020/10/15 11:00:43 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 11:02:38 AM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 11:14:19 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Не интересно;Стоит подумать
2020/10/15 12:45:40 PM GMT+3;Женский;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Стоит подумать
2020/10/15 2:31:17 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Да
2020/10/15 2:31:53 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Да, с кем не бывает;Меня это не беспокоит;Не интересно;Стоит подумать
2020/10/15 2:33:07 PM GMT+3;Женский;16-22;Нет;Самообучение;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Серьезно и весьма осторожно;Не интересно;Стоит подумать
2020/10/15 2:34:32 PM GMT+3;Мужской;16-22;Нет;Самообучение;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Меня это не беспокоит;Не интересно;Стоит подумать
2020/10/15 2:35:14 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/15 2:35:28 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Не интересно;Стоит подумать
2020/10/15 2:36:06 PM GMT+3;Женский;16-22;Нет;Самообучение;Да;Мне помогли/ повезло;Серьезно и весьма осторожно;Да;Да
2020/10/15 2:36:08 PM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Да;Да
2020/10/15 2:37:16 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Да;Мне помогли/ повезло;Серьезно и весьма осторожно;Да;Да
2020/10/15 2:39:16 PM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Не интересно;Да
2020/10/15 3:18:38 PM GMT+3;Мужской;16-22;Нет;Самообучение;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Не интересно;Стоит подумать
2020/10/15 9:33:16 PM GMT+3;Женский;16-22;Нет;Подготовка отсутствует;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/16 1:31:53 AM GMT+3;Женский;51+;Нет;Самообучение;Нет;"Пропуск (""Нет"" в предыдущем вопросе)";Меня это не беспокоит;Да;Стоит подумать
2020/10/16 10:46:35 AM GMT+3;Мужской;16-22;Нет;Подготовка отсутствует;Да;Нет, я их раскусил;Конфиденциальность? Существует в наше время?;Да;Стоит подумать
2020/10/16 10:47:17 AM GMT+3;Мужской;16-22;Нет;Прошел(ла) консультацию;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Нет;Ни за что
2020/10/16 8:32:15 PM GMT+3;Мужской;23-35;Да;Обучение по месту работы;Да;Нет, я их раскусил;Серьезно и весьма осторожно;Нет;Ни за что
